,Dmix,Lmix,X,velocity
52,0.0045,0.01,0.0299540766666666,28.806546666666662
53,0.0045,0.01,0.0328702333333333,31.62493333333333
54,0.0045,0.01,0.0358788666666666,31.067243333333334
55,0.0045,0.01,0.0388871033333333,28.60788
56,0.0045,0.01,0.0418952266666666,25.797083333333333
57,0.0045,0.01,0.0449032866666666,23.156230000000004
58,0.0045,0.01,0.0479113,20.795456666666663
59,0.0045,0.01,0.0509193133333333,18.712846666666668
60,0.0045,0.01,0.0539273333333333,16.879836666666666
61,0.0045,0.01,0.0569353333333333,15.263946666666666
62,0.0045,0.01,0.0599433266666666,13.836809999999998
63,0.0045,0.01,0.06295125,12.575256666666666
64,0.0045,0.01,0.06595917,11.461403333333331
65,0.0045,0.01,0.0689670999999999,10.481766666666664
66,0.0045,0.01,0.0719750266666666,9.626939333333333
67,0.0045,0.01,0.07498295,8.889078333333334
68,0.0045,0.01,0.07799092,8.251816
69,0.0045,0.01,0.0809989333333333,7.6881606666666675
70,0.0045,0.01,0.0840069333333333,7.173531999999999
71,0.0045,0.01,0.0870149566666666,6.694627
72,0.0045,0.01,0.0900229666666666,6.246839333333332
73,0.0045,0.01,0.0930309266666666,5.828514333333333
74,0.0045,0.01,0.09603873,5.4346293333333335
75,0.0045,0.01,0.0990565333333333,5.029429333333331
76,0.0045,0.01,0.1024686,5.028199
77,0.0045,0.01,0.1060830666666666,5.1621863333333335
78,0.005,0.01,0.0018825620666666,1.084074266666667
79,0.005,0.01,0.0062854483333333,1.5025390000000003
80,0.005,0.01,0.0107743426666666,2.083711333333333
81,0.005,0.01,0.0142024766666666,2.534641
82,0.005,0.01,0.0159549033333333,2.392653666666667
83,0.005,0.01,0.0213747366666666,10.460175666666665
84,0.005,0.01,0.0228697033333333,40.51110333333334
85,0.005,0.01,0.0248200566666666,52.01899333333333
86,0.005,0.01,0.0269901499999999,50.93033666666666
87,0.005,0.01,0.0290730599999999,39.16774333333334
88,0.005,0.01,0.03090813,18.178081666666667
89,0.005,0.01,0.0322944133333333,3.242954246666666
90,0.005,0.01,0.03348415,1.235035197
91,0.005,0.01,0.03486785,0.55421165
92,0.005,0.01,0.03703626,0.4740448533333333
93,0.005,0.01,0.0392918966666666,2.325619333333333
94,0.005,0.01,0.04138658,2.9587983333333336
95,0.005,0.01,0.0426812733333333,2.275174333333333
96,0.005,0.01,0.0440580499999999,23.862154333333333
97,0.005,0.01,0.0458726933333333,44.02893666666668
98,0.005,0.01,0.0480882766666666,46.23103999999999
99,0.005,0.01,0.0501746033333333,37.22756
100,0.005,0.01,0.0520205266666666,17.086531
101,0.005,0.01,0.05363808,4.458732
102,0.005,0.01,0.0557312133333333,7.423019
103,0.005,0.01,0.05798684,8.183946333333333
104,0.005,0.01,0.0602424633333333,8.347820333333335
105,0.005,0.01,0.06216367,3.609807666666668
106,0.005,0.01,0.0634237866666666,4.4573963333333335
107,0.005,0.01,0.0649174366666666,31.627109999999995
108,0.005,0.01,0.06701899,45.99433
109,0.005,0.01,0.0691876733333333,44.68085666666666
110,0.005,0.01,0.07121459,30.69815666666666
111,0.005,0.01,0.0729450466666666,10.306864
112,0.005,0.01,0.0746659233333333,7.175985333333333
113,0.005,0.01,0.07684481,12.434416666666666
114,0.005,0.01,0.0791005466666666,13.102853333333334
115,0.005,0.01,0.0812793899999999,9.598479666666666
116,0.005,0.01,0.0828352433333333,2.703872333333333
117,0.005,0.01,0.0841180833333333,13.786032666666667
118,0.005,0.01,0.0858320799999999,40.09402000000001
119,0.005,0.01,0.0880342599999999,45.46181333333334
120,0.005,0.01,0.0901621399999999,39.50682000000001
121,0.005,0.01,0.0920627333333333,20.65455
122,0.005,0.01,0.0936778533333333,5.166101333333333
123,0.005,0.01,0.0957260666666666,12.90363
124,0.005,0.01,0.0979818033333333,15.774476666666668
125,0.005,0.01,0.1002375633333333,12.87740233333333
126,0.005,0.01,0.1021906333333333,4.563912333333334
127,0.005,0.01,0.1034441999999999,5.907714666666666
128,0.005,0.01,0.1049629999999999,33.15891666666666
129,0.005,0.01,0.1071025,45.23146
130,0.005,0.01,0.1092646666666666,42.90760333333333
131,0.005,0.01,0.1112566999999999,27.42614
132,0.005,0.01,0.1129309666666666,7.702737666666668
133,0.005,0.01,0.1147256666666666,9.585634666666666
134,0.005,0.01,0.1169728,15.884753333333329
135,0.005,0.01,0.1192284999999999,14.336816666666664
136,0.005,0.01,0.1213898333333333,7.463194333333333
137,0.005,0.01,0.1227410333333333,2.9774276666666664
